"Depth","Age","TRSH"
0,-48,34.6504559270517
5,37,32.0474777448071
10,122,25.8620689655172
15,213,30.4123711340206
20,304,20.0440528634361
25,397,17.2330097087379
30,488,14.3229166666667
35,579,28.5393258426966
40,669,36.734693877551
45,756,39.9503722084367
49,825,32.9192546583851
55,922,29.8876404494382
60,1002,31.832298136646
65,1090,37.3464373464373
70,1176,41.036717062635
76,1311,36.1635220125786
80,1403,50.8333333333333
85,1540,47.8021978021978
90,1673,56.8364611260054
95,1809,57.7464788732394
99,1915,50.3424657534247
105,2073,34.7266881028939
110,2207,40.9090909090909
116,2364,20.6106870229008
120,2468,30.4909560723514
125,2599,30.3921568627451
135,2871,43.7689969604863
140,3014,31.728045325779
144,3117,34.8214285714286
148,3219,39.922480620155
152,3321,22.2527472527473
156,3424,31.6326530612245
160,3525,39.7196261682243
164,3637,21.4067278287462
170,3802,32.4712643678161
178,4020,48.4924623115578
182,4125,38.622754491018
190,4328,44.0298507462687
195,4457,54.9206349206349
200,4584,56.8027210884354
214,4957,56.3380281690141
225,5254,36.4485981308411
230,5391,37.8657487091222
234,5497,30.1169590643275
240,5654,27.4096385542169
244,5760,23.9344262295082
250,5920,29.9727520435967
254,6020,26.3736263736264
260,6170,36.0613810741688
264,6276,27.3615635179153
270,6433,41.6961130742049
275,6558,41.6666666666667
279,6656,34.4827586206897
285,6813,24.2016806722689
289,6919,26.6318537859008
295,7071,31.4168377823409
300,7200,21.2317666126418
307,7321,31.4720812182741
311,7385,25.5172413793103
316,7457,30.5128205128205
320,7512,27.3224043715847
325,7587,26.8436578171091
331,7678,28.6315789473684
336,7752,25.1351351351351
341,7826,24.047619047619
346,7902,24.4493392070485
353,8007,29.3103448275862
358,8082,24.0825688073394
363,8159,20.5761316872428
369,8251,23.876404494382
375,8341,17.6616915422886
381,8430,11.8707738542449
386,8504,23.9757207890744
391,8578,31.2320916905444
396,8654,22.7522935779816
401,8730,26.5593561368209
408,8835,22.1978021978022
412,8894,25.0521920668058
415,8938,29.7800338409475
418,8982,38.252427184466
421,9026,36.6132723112128
429,9143,13.9985642498205
435,9237,30.8016877637131
440,9316,28
445,9416,28.419452887538
450,9511,30.2631578947368
455,9618,35.632183908046
460,9722,40.8352668213457
465,9825,36.3636363636364
470,9926,34.4086021505376
475,10027,23.785594639866
481,10149,36.9955156950673
486,10251,30.4123711340206
491,10353,29.153605015674
495,10434,26.4270613107822
500,10536,28.7206266318538
505,10642,15.7622739018088
511,10769,19.5530726256983
516,10872,24.2603550295858
521,10974,25.9012016021362
526,11075,45.6852791878173
529,11136,29.3333333333333
535,11259,47.8510028653295
539,11342,63.2390745501285
544,11447,47.4088291746641
549,11555,31.1627906976744
552,11617,58.9171974522293
557,11721,46.2311557788945
561,11805,50.5720823798627
566,11908,70.7006369426752
571,12010,26.1421319796954
576,12111,20.4845814977974
581,12219,24.9208025343189
586,12351,20.891364902507
591,12485,18.7306501547988
596,12633,17.379679144385
600,12751,16.5207877461707
605,12898,19.5205479452055
610,13043,18.8323917137476
615,13194,12.8463476070529
622,13401,14.6814404432133
627,13546,16.5296803652968
635,13784,17.8477690288714
640,13931,22.2033898305085
645,14080,23.8709677419355
651,14255,22.1388367729831
656,14405,13.6480686695279
662,14584,24.6376811594203
668,14762,20.6237424547284
672,14882,30.6930693069307
676,15001,14.6186440677966
681,15148,17.2966781214204
687,15323,17.195325542571
693,15499,45.9459459459459
697,15617,20.8823529411765
703,15796,21.4545454545455
707,15917,21.3836477987421
716,16138,14.804469273743
722,16262,46.7411545623836
729,16400,22.5490196078431
735,16521,47.3684210526316
740,16621,41.2451361867704
745,16721,79.4117647058823
750,16819,48
