"Depth","Age","Influx"
"0","576","0.043980069"
"0.05","1004","0.091601373"
"0.075","1172","0.071510204"
"0.1","1347","0.086463973"
"0.15","1739","0.108967123"
"0.205","2140","0.021942934"
"0.25","2459","0.145051157"
"0.35","3205","0.216562677"
"0.42","3711","0.038736756"
"0.45","3998","0.203074718"
"0.51","4361","0.096705769"
"0.55","4615","0.112994906"
"0.62","5232","0.041121673"
"0.65","5495","0.418194621"
"0.72","6058","0.061522959"
"0.75","6298","0.21047619"
"0.82","7060","0.011669484"
"0.87","7905","0.006146059"
"0.92","8791","0.013106688"
"0.97","9801","0.003814314"
"1.02","10866","0.000452554"
"1.07","11928","0"
"1.12","12950","0"
"1.17","13942","0"
"1.22","14913","0"
"1.27","15727","0"
"1.32","16323","0"
"1.37","16802","0"
"1.42","17287","0"
"1.57","18775","0.003677378"
