"Depth","Age","Influx"
"0","4652","0"
"0.03","4780","0"
"0.077","4985","0.004247104"
"0.187","5503","0.004788732"
"0.204","5574","0.004101066"
"0.243","5741","0.003587726"
"0.281","5927","0.003965332"
"0.336","6245","0.0029102"
"0.366","6421","0.004113434"
"0.4","6589","0.004054878"
"0.421","6685","0.001142756"
"0.494","7007","0.0007988"
"0.54","7316","0.000406055"
"0.766","9126","0.000154784"
"0.821","10166","0.000892688"
"1.026","13676","0"
"1.166","14375","0"
"1.187","14479","0.000360117"
"1.289","15308","0.000219512"
"1.421","17068","0"
"1.523","18241","0"
"1.617","18838","0"
"1.749","19600","0"
"1.923","20667","0"
"2.047","21351","0"
"2.221","22535","0"
"2.353","23181","0"
"2.477","23827","0"
"2.698","24862","0"
"2.804","25323","0"
"2.898","25745","0"
"3.017","26216","0"
"3.111","26440","0"
"3.213","26651","0"
"3.345","26957","0"
"3.43","27163","0"
"3.494","27317","0.000448489"
"3.626","27652","0.00097917"
"3.736","27926","0.000190689"
"3.894","30890","0.000180824"
"4","32987","0.001903483"
"4.174","33314","0.001186035"
"4.298","33535","0"
"4.391","33712","0"
"4.502","33933","0"
"4.596","34492","0"
"4.791","35625","0"
"4.894","36357","0"
"4.962","36812","0"
"5.183","38285","0"
"5.298","39010","0"
"5.532","40593","0"
"5.643","41406","0"
"5.762","42259","0"
"5.885","43070","0"
"5.979","43732","0"
"6.519","47541","0"
"6.651","48494","0"
"6.949","50461","0"
"7.072","51332","0"
"7.183","52130","0"
"7.285","52830","0"
"7.387","53543","0"
