"Depth","Age","Influx"
"0.01","-40","4808.740723"
"0.2","90","786.8848267"
"0.25","130","3622.456055"
"0.3","170","4261.572266"
"0.35","213","6077.479492"
"0.4","253","1324.857056"
"0.45","296","2669.749756"
"0.5","336","4449.583008"
"0.55","378","237.047699"
"0.6","424","834.9168701"
"0.65","465","4805.550293"
"0.7","509","2010.442993"
"0.75","548","327.0124512"
"0.8","591","122.6719666"
"0.85","631","1227.075928"
"0.9","672","240.9899902"
"0.95","714","330.6311035"
"1","755","167.7708588"
"1.05","802","425.0348206"
"1.1","856","905.0479736"
"1.15","928","0"
"1.2","1006","224.0096588"
"1.25","1098","814.769165"
"1.3","1196","256.1178284"
"1.35","1283","259.7339172"
"1.4","1378","293.569519"
"1.45","1454","946.1757202"
"1.5","1529","164.2741089"
"1.55","1591","140.087616"
"1.61","1661","379.4816895"
"1.62","1703","122.4004974"
"1.63","1746","519.6295166"
"1.64","1792","448.5906372"
"1.65","1837","202.8300171"
"1.66","1879","1540.833008"
"1.71","2088","324.3680115"
"1.72","2113","203.0802917"
"1.77","2227","4085.878174"
"1.82","2339","865.2945557"
"1.86","2449","4760.708984"
"2.1","3011","789.0262451"
"2.12","3054","548.1755981"
"2.17","3150","2786.960938"
"2.22","3237","1184.662354"
"2.27","3336","1392.737549"
"2.32","3428","325.8336487"
"2.37","3517","337.7073975"
"2.42","3618","115.8650513"
"2.46","3729","288.6762085"
"2.53","3971","1938.190796"
"2.58","4205","760.4765015"
"2.63","4434","843.4378662"
"2.68","4715","1745.24939"
"2.73","4951","2606.040283"
"2.78","5182","1090.776001"
"2.83","5375","5583.110352"
"2.88","5455","2845.036865"
"2.93","5540","1788.421753"
"2.98","5642","207.7936401"
"3.03","5737","896.5578613"
"3.08","5834","2301.339111"
"3.13","5933","1662.386841"
"3.18","6031","399.7325439"
"3.23","6151","874.7655029"
"3.28","6305","467.9828186"
"3.33","6485","1329.480835"
"3.38","6720","551.1107788"
"3.43","6949","918.1808472"
"3.48","7212","618.5904541"
"3.53","7446","714.5870361"
