"Depth","Age","Influx"
"0","49","0.00183727"
"0.447122","267","0.00091"
"0.543507","328","0.0163"
"0.65328","408","0.00137"
"0.733601","465","0.00068"
"0.829987","519","0.00252"
"1.046854","655","0.00091"
"1.250335","736","0.0016"
"1.646586","912","0.00091"
"2.053548","1085","0.00463"
"2.257028","1175","0.00509"
"2.447122","1257","0.01281"
"2.639893","1344","0.0135"
"2.950468","1484","0.01818"
"3.196787","1592","0.0282"
"3.550201","1794","0.00767"
"3.686747","1889","0.005557743"
"3.943775","2078","0.02053"
"4.203481","2265","0.0191"
"4.433735","2416","0.01979"
"4.937082","2748","0.00091"
"5.1834","2912","0.00068"
"5.440428","3082","0.00812"
"5.630522","3207","0.00068"
"5.930388","3411","0.00463"
"6.283802","3652","0.00206"
"6.393574","3723","0.00303"
"6.706827","3932","0.01235"
"7.1834","4231","0.00509"
"7.303882","4298","0.0744"
"7.713521","4480","0.00812"
"7.970549","4591","0.00303"
"8.16332","4678","0.00886"
"8.270415","4729","0.005557743"
