"Depth","Age","Influx"
"0.18","22","0"
"0.685","229","0"
"1.345","497","0"
"1.94","758","0"
"2.025","800","0"
"2.155","864","3627.232172"
"2.22","896","3109.056031"
"2.285","928","21607.14286"
"2.89","1208","42177.44211"
"3.215","1357","4696.673096"
"3.855","1649","9472.049721"
"4.16","1787","8939.490093"
"4.73","2044","4195.011333"
"5.11","2215","6604.805724"
"6.255","2728","16254.57885"
"6.605","2884","19353.15343"
"7.42","3260","11184.84547"
"7.735","3408","11656.09493"
"8.525","3778","11493.1611"
"9.295","4154","0"
"10.48","4729","9464.285627"
"10.745","4859","0"
"11.71","5339","0"
