"Depth","Age","Influx"
"0.05735","-3","0"
"0.09295","10","422.64706"
"0.22347","63","0"
"0.44891","158","19.411765"
"0.49044","176","3.5294118"
"0.64272","242","0"
"0.72182","276","0"
"0.8029","308","0"
"0.84641","324","0"
"0.882","335","45.882353"
"0.93935","356","0"
"0.99077","372","0"
"1.05603","392","3.5294118"
"1.17073","426","0"
"1.25775","452","64.411765"
"1.46737","515","22.941176"
"1.82927","651","32.647059"
"2.10415","795","38.823529"
"2.45023","985","26.470588"
"2.66777","1104","93.529412"
"2.89123","1222","71.470588"
"2.94265","1249","22.941176"
"3.12261","1348","90.882353"
"3.57152","1592","32.647059"
"3.81674","1726","97.058824"
"4.23599","1945","67.941176"
"4.32301","1988","29.117647"
"4.51088","2082","122.64706"
"4.65524","2154","32.647059"
"4.95188","2302","0"
