"Depth","Age","Influx"
"0","-50","0.084185624"
"0.901","3605","0.229846302"
"1.668","6254","0.58110192"
"2.11","6873","0.888833788"
"2.578","7576","1.030529022"
"3.148","8634","0.23985525"
"3.399","9651","0.657538015"
"3.784","11507","0.055387415"
"4.79","16654","0.117795613"
"5.627","20836","0.081840493"
"6.012","22810","0.244643275"
"6.429","24996","0.17244363"
"7.043","28120","0.197111571"
"8.259","34474","0.086869885"
"8.593","36248","0.150620605"
"9.29","39871","0.120506823"
"10","42750","0.177419717"
