"Depth","Age","Influx"
"0.02","656","5314.513103"
"0.08","743","0"
"0.425","1255","0"
"0.5","1363","397.6282895"
"0.75","1743","0"
"1.285","4779","0"
"1.41","5568","57.417582"
"1.6","6768","0"
"1.91","7069","58812.34108"
"2.485","7394","0"
"3","7705","0"
"4.295","8515","0"
"4.5","8641","540.7750105"
"4.585","8698","21690.95605"
"4.935","8954","0"
"5.315","9245","0"
"5.47","9366","5232.254493"
"5.75","9573","0"
"6.79","10481","0"
"6.87","10535","34679.23919"
"6.925","10572","24510.40071"
"6.94","10586","5014.245037"
"6.98","10613","0"
