"Depth","Age","Influx"
"0.005","-61","16"
"0.01","-59","12"
"0.015","-57","13"
"0.02","-56","10"
"0.025","-54","9"
"0.03","-52","5"
"0.035","-50","7"
"0.04","-48","6"
"0.045","-46","10"
"0.05","-44","7"
"0.055","-41","6"
"0.06","-38","6"
"0.065","-35","5"
"0.07","-32","9"
"0.075","-29","8"
"0.08","-26","10"
"0.085","-22","4"
"0.09","-19","6"
"0.095","-16","8"
"0.1","-13","13"
"0.105","-10","16"
"0.11","-6","13"
"0.115","-3","17"
"0.12","0","11"
"0.125","3","10"
"0.13","6","16"
"0.135","10","12"
"0.14","13","20"
"0.145","16","37"
"0.15","20","19"
"0.155","40","9"
"0.16","59","15"
"0.165","77","23"
"0.17","93","32"
"0.175","109","32"
"0.18","126","16"
"0.185","144","13"
"0.19","161","10"
"0.195","178","8"
"0.2","194","21"
"0.205","234","22"
"0.21","274","15"
"0.215","317","11"
"0.22","360","7"
"0.225","403","19"
"0.23","446","14"
"0.235","487","22"
"0.24","526","22"
"0.245","562","13"
"0.25","602","16"
"0.255","624","12"
"0.26","646","25"
"0.265","668","17"
"0.27","692","39"
"0.275","717","20"
"0.28","741","17"
"0.285","766","18"
"0.29","790","11"
"0.295","814","10"
"0.3","838","8"
"0.305","844","13"
"0.31","850","6"
"0.315","855","3"
"0.32","860","1"
"0.325","866","12"
"0.33","871","7"
"0.335","876","3"
"0.34","881","3"
"0.345","886","8"
"0.35","891","16"
"0.355","896","8"
"0.36","902","9"
"0.365","908","10"
"0.37","912","9"
"0.375","918","13"
"0.38","922","36"
"0.385","928","51"
"0.39","934","18"
"0.395","939","20"
"0.4","944","24"
"0.405","949","17"
"0.41","955","15"
"0.415","961","7"
"0.42","967","14"
"0.425","972","1"
"0.43","978","1"
"0.435","984","2"
"0.44","989","2"
"0.445","993","3"
"0.45","999","3"
"0.455","1004","5"
"0.46","1008","9"
"0.465","1014","3"
"0.47","1019","8"
"0.475","1025","7"
"0.48","1031","5"
"0.485","1037","4"
"0.49","1042","4"
"0.495","1048","3"
"0.5","1053","7"
"0.505","1059","2"
"0.51","1065","7"
"0.515","1071","6"
"0.52","1076","3"
"0.525","1082","6"
"0.53","1086","1"
"0.535","1092","2"
"0.54","1098","6"
"0.545","1103","2"
"0.55","1108","8"
"0.555","1113","4"
"0.56","1119","1"
"0.565","1125","2"
"0.57","1130","2"
"0.575","1136","2"
"0.58","1142","4"
"0.585","1148","3"
"0.59","1155","2"
"0.595","1162","1"
"0.6","1167","5"
"0.605","1189","1"
"0.61","1216","17"
"0.615","1243","1"
"0.62","1269","3"
"0.625","1292","7"
"0.63","1316","12"
"0.635","1338","1"
"0.64","1361","5"
"0.645","1385","14"
"0.65","1407","6"
"0.655","1443","6"
"0.66","1478","22"
"0.665","1512","13"
"0.67","1545","9"
"0.675","1581","7"
"0.68","1616","5"
"0.685","1650","6"
"0.69","1683","2"
"0.695","1713","4"
"0.7","1745","2"
"0.705","1773","5"
"0.71","1802","24"
"0.715","1830","6"
"0.72","1861","2"
"0.725","1891","5"
"0.73","1928","1"
"0.735","1960","1"
"0.74","1996","4"
"0.745","2028","5"
"0.75","2059","1"
"0.755","2082","5"
"0.76","2107","8"
"0.765","2132","7"
"0.77","2155","6"
"0.775","2181","6"
"0.78","2211","4"
"0.785","2249","1"
"0.79","2289","7"
"0.795","2324","1"
"0.8","2349","1"
"0.805","2365","3"
"0.81","2379","8"
"0.815","2394","2"
"0.82","2408","2"
"0.825","2423","6"
"0.83","2437","6"
"0.835","2453","9"
"0.84","2469","6"
"0.845","2484","4"
"0.85","2499","3"
"0.855","2519","6"
"0.86","2541","8"
"0.865","2565","5"
"0.87","2586","3"
"0.875","2604","1"
"0.88","2622","10"
"0.885","2642","2"
"0.89","2661","3"
"0.895","2678","7"
"0.9","2696","4"
"0.905","2720","0"
"0.91","2743","5"
"0.915","2765","5"
"0.92","2789","9"
"0.925","2810","5"
"0.93","2834","10"
"0.935","2857","14"
"0.94","2877","6"
"0.945","2897","7"
"0.95","2919","4"
"0.955","2944","4"
"0.96","2968","5"
"0.965","2993","9"
"0.97","3016","12"
"0.975","3041","10"
"0.98","3065","9"
"0.985","3087","3"
"0.99","3110","4"
"0.995","3130","7"
"1","3152","10"
"1.005","3209","3"
"1.01","3272","6"
"1.015","3332","5"
"1.02","3397","9"
"1.025","3458","7"
"1.03","3522","3"
"1.035","3583","10"
"1.04","3648","10"
"1.045","3713","7"
"1.05","3778","11"
"1.055","3837","6"
"1.06","3901","3"
"1.065","3969","2"
"1.07","4034","4"
"1.075","4107","11"
"1.08","4183","5"
"1.085","4251","8"
"1.09","4322","6"
"1.095","4396","3"
"1.1","4456","5"
"1.105","4500","2"
"1.11","4545","0"
"1.115","4591","4"
"1.12","4636","0"
"1.125","4684","0"
"1.13","4732","0"
"1.135","4779","0"
"1.14","4824","4"
"1.145","4866","0"
"1.15","4920","0"
"1.155","4940","0"
"1.16","4960","0"
"1.165","4977","0"
"1.17","4993","0"
"1.175","5009","0"
"1.18","5025","0"
"1.185","5040","0"
"1.19","5054","0"
"1.195","5069","0"
"1.2","5084","0"
"1.205","5105","0"
"1.21","5125","0"
"1.215","5146","0"
"1.22","5167","0"
"1.225","5187","0"
"1.23","5206","0"
"1.235","5224","0"
"1.24","5242","0"
"1.245","5261","0"
"1.25","5278","0"
"1.255","5300","0"
"1.26","5319","0"
"1.265","5339","0"
"1.27","5360","0"
"1.275","5382","0"
"1.28","5402","0"
"1.285","5422","0"
"1.29","5441","0"
"1.295","5466","0"
"1.3","5486","0"
"1.305","5506","0"
"1.31","5526","0"
"1.315","5548","0"
"1.32","5568","0"
"1.325","5588","0"
"1.33","5612","0"
"1.335","5631","0"
"1.34","5649","0"
"1.345","5671","0"
"1.35","5692","0"
"1.355","5711","0"
"1.36","5730","0"
"1.365","5752","0"
"1.37","5773","0"
"1.375","5794","0"
"1.38","5815","0"
"1.385","5838","0"
"1.39","5852","0"
"1.395","5871","0"
"1.4","5891","0"
"1.405","5910","0"
"1.41","5932","0"
"1.415","5952","0"
"1.42","5971","0"
"1.425","5989","0"
"1.43","6013","0"
"1.435","6034","0"
"1.44","6054","0"
"1.445","6072","0"
"1.45","6088","0"
"1.455","6110","0"
"1.46","6131","0"
"1.465","6156","0"
"1.47","6175","0"
"1.475","6194","0"
"1.48","6214","0"
"1.485","6236","0"
"1.49","6258","0"
"1.495","6275","0"
"1.5","6300","0"
"1.505","6321","0"
"1.51","6335","0"
"1.515","6357","0"
"1.52","6381","0"
"1.525","6397","0"
