"Depth","Age","Influx"
"0","0","0"
"0.04","40","5245.024631"
"0.24","243","7026.945565"
"0.455","491","13685.70696"
"0.645","764","2195.277273"
"0.835","984","5744.074219"
"1.045","1240","10727.5443"
"1.235","1398","9052.75"
"1.44","1562","1859.693878"
"1.64","1758","9546.648393"
"1.83","1926","6712.360849"
"2.045","2138","7882.668712"
"2.235","2301","2494.676617"
"2.44","2502","3510.849673"
"2.64","2655","1947.689024"
"2.825","2819","737.7420382"
"3.035","3133","603.0898204"
"3.245","3467","869.6153846"
"3.445","3831","670.0522118"
"3.635","4171","349.2281421"
"3.84","4537","448.3217391"
"4.055","4997","418.0948423"
"4.24","5379","312.5122249"
"4.445","5788","650.8857143"
"4.635","6138","755.5479452"
"4.835","6430","900.9525398"
"5.04","6681","967.9424242"
"5.225","6846","730.4846154"
"5.445","7106","784.8181818"
"5.645","7326","627"
"5.835","7544","654"
"6.035","7764","722.5859031"
"6.225","7991","787.4695946"
"6.63","8435","915.2130178"
"6.845","8604","848.2993197"
"7.045","8751","978.7755102"
